"Fitness", "Emission", "Energy","Diversity", "Evenness","PopulationSize", "NumberOfGenerations"
9.529920305026394, 6421467.720249472, 225.54416672904426, 2.5649493574615376, 1.0000000000000004, 13, 50
7.7293932942029295, 7040349.008221324, 253.63873420321426, 3.877461147974523, 0.9861732208322438, 51, 21
9.40836148754261, 6091018.046496379, 240.85257302415766, 3.8501476017100575, 0.9999999999999998, 47, 4
20.869794247174163, 4145310.5803173706, 159.54379920210908, 4.325801598981991, 0.9958552879046756, 77, 12
12.53913318976852, 5518734.469828539, 199.45648338383833, 3.4679944083627867, 0.9677622660637885, 36, 58
8.401757936794777, 6874363.939611515, 238.9750088727094, 3.583518938456111, 1.0000000000000002, 36, 5
9.414157237571805, 6070609.865669281, 241.5134939562068, 3.583518938456111, 1.0000000000000002, 36, 9
20.858927578971294, 4146576.2615263667, 159.57819138953, 4.439884122819067, 0.991635051547154, 88, 94
21.13238496819679, 4115971.1910341387, 158.6844357777416, 4.0365413836305555, 0.9941135420805606, 58, 30
14.401574929496519, 4964171.55689062, 193.06271165036307, 3.1354942159291497, 1.0, 23, 97
16.64360032748154, 4684115.457089983, 177.04362871466066, 3.704662609685273, 0.9911690941230769, 42, 48
17.756652045968895, 4515425.908341143, 172.14537812512918, 2.833213344056216, 1.0, 17, 61
6.74121098070017, 7720550.764259962, 265.1972214565195, 3.0280290733074104, 0.9796141977984018, 22, 49
10.179990206609265, 6155567.695567973, 220.26206167939642, 3.2444926304072967, 0.984421487566137, 27, 100
10.608976424237513, 5904371.994465676, 220.3474231523716, 2.4849066497880012, 1.0000000000000004, 12, 71
2.8562674802346835, 11738792.397848083, 411.65450690181007, 3.2580965380214835, 1.0000000000000004, 26, 3
12.718151586250677, 5327523.178175354, 203.70694097835303, 0.6931471805599453, 1.0, 2, 92
16.19225109621855, 4783329.008927967, 178.204098592441, 3.8183803808856607, 0.9760628645556145, 50, 19
7.597854578057188, 7216736.870563093, 251.72324648539413, 2.7985132569432936, 0.9504402287649182, 19, 16
3.697745269531023, 10170530.754112098, 367.007183129744, 1.945910149055313, 0.9999999999999999, 7, 71
1.759176815836345, 15138642.952198239, 518.2731772940372, 0.6365141682948128, 0.5793801642856949, 3, 27
20.664712679848463, 4168620.0416240217, 160.22618363427273, 4.178734341613755, 0.9903369382375258, 68, 45
13.411668154107172, 5312952.45074532, 193.7030431568373, 3.3892680315457957, 0.986977478285026, 31, 45
18.677531270014313, 4414426.9528659005, 167.40227855692473, 4.351899822579431, 0.9959839250907451, 79, 59
7.007780785459878, 7430078.036157669, 265.0826410969247, 0.6365141682948128, 0.5793801642856949, 3, 38
11.97296933586483, 5594220.794431855, 206.06949105596246, 3.1354942159291497, 1.0, 23, 15
15.435715041994438, 4913043.375551784, 182.00269594442832, 4.353759810647687, 0.990740740740739, 81, 40
19.753570511666727, 4266507.183750794, 163.7710312627609, 3.7210321636623105, 0.9664648082607532, 47, 78
2.756639685081521, 11901204.869770732, 420.7113577526347, 0.6931471805599453, 1.0, 2, 45
18.130897653808248, 4488969.484090164, 169.58569379282272, 4.492145360159514, 0.9841811298613695, 96, 30
7.434572054451435, 7191140.257251833, 258.16742178846823, 1.6094379124341005, 1.0000000000000002, 5, 9
13.792599600065211, 5220681.211225212, 191.68223665383368, 3.8774611479745227, 0.9861732208322437, 51, 72
5.529884150004979, 8573212.024209589, 291.135774576048, 3.178053830347946, 1.0000000000000002, 24, 39
14.724843764938962, 5017755.211015662, 186.80779998953722, 2.143952200643869, 0.8123931892591475, 14, 69
15.819553013028091, 4845985.835576881, 180.044070628704, 4.214015281972332, 0.9952549085378195, 69, 87
19.78663990237743, 4262457.645876663, 163.65265115404878, 4.477810728591923, 0.9744709332142378, 99, 77
21.078581969273888, 4121958.1433619317, 158.85840712604568, 4.4144920273536385, 0.9671681129861379, 96, 83
13.37612401575916, 5320555.164940474, 193.94024275667613, 3.820651977005379, 0.9923390924826937, 47, 42
2.9970520483833214, 11604381.429332249, 396.86142859038193, 2.890371757896165, 1.0000000000000002, 18, 5
20.376442538553732, 4202080.53768452, 161.19903437241766, 4.3473692756458755, 0.992091020453009, 80, 65
14.87823492795033, 5005207.568708416, 185.34533830418263, 2.1972245773362196, 1.0, 9, 96
2.5159869806928508, 12764065.22713723, 429.7914460103907, 1.3862943611198906, 0.6666666666666667, 8, 33
17.14472249325097, 4622624.974305628, 174.15504134883219, 3.6378642135843546, 0.9206883889436256, 52, 55
16.609628616241704, 4715616.68619249, 176.2206319107912, 4.08814772710577, 0.9944717016823108, 61, 96
13.673570339726501, 5229599.217662109, 193.02112205174865, 4.05161613944631, 0.9817020143874097, 62, 20
17.64226894921572, 4547215.571004827, 172.05020329593185, 3.637586159726386, 1.0000000000000002, 38, 90
19.022405833791872, 4368922.268559467, 166.07926387112224, 3.584907377029948, 0.9718147262936349, 40, 75
11.624317084815404, 5575171.719942633, 212.97541608532885, 2.9444389791664403, 1.0, 19, 9
18.41258912634696, 4423436.874480641, 169.46517948667787, 3.4544986414325436, 0.9879854628381477, 33, 22
12.084262578629131, 5552472.040435031, 205.7067951943732, 3.721176253867361, 0.9833482499169435, 44, 36
